

"Board Report"
"Save Time: 01/02/2015 10:19:37"
"User Name:c1ghutx8"
""

"Total 1,579 Records"

"NE","Board Name","Board Type","NE Type","Subrack ID","Slot ID","Hardware Version","Software Version","Serial Number","Alias","Remarks","Customized Column","Subrack Type","NE ID","Board Bar Code","BIOS Version","FPGA Version","Board Status","Board BOM Item","Management","Description","Manufacture Date"
CDMNXTCMO06.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,5,VER.A,1.10,--,--,DIR: al-LLCAXTLLO01 WDM_OT40_001ZNTE C,-,OptiX OSN 1800 2U Subrack,12-1012,030KAH10C4000021,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
CDMNXTCMO06.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-LLCAXTLLO01 WDM_OT40_001ZNTE,-,OptiX OSN 1800 2U Subrack,12-1012,030JVE10B3000093,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-03-24
OMTPXGOMO06.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CJNCXGCUO02 WDM_OT40_318ZSUR,-,OptiX OSN 1800 2U Subrack,12-2339,030KAA10D4000078,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-04-14
VLAZVRVIO001.01,MR4,TNF1MR4 (TNF1MR401),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-LMBOOALBO0F PTO-PTO_CT08_047ZSUR,-,OptiX OSN 1800 2U Subrack,12-2122,030KAC10BC000046,/,/,Normal,03030KAC,--,"OptiX OSN 1800,TNF1MR401,4-Channel Optical Add/Drop Multiplexing Board(1471/1491/1511/1531nm),CWDM",2011-12-22
TCMNXKTEO08.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CRORXKCRO00 WDM_OT40_135ZCEN,-,OptiX OSN 1800 2U Subrack,12-4031,030KAA10C2000005,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-02-16
CHDHXICUO01.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CRORXKCRO00 WDM_OT40_135ZCEN,-,OptiX OSN 1800 2U Subrack,12-4033,030KAA10C2000048,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-02-16
CRORXKCRO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-CHDHXICUO01 WDM_OT40_135ZCEN,-,OptiX OSN 1800 2U Subrack,12-4032,030KAA10C1000038,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-01-28
CRORXKCRO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-TCMNXKTEO08 WDM_OT40_135ZCEN,-,OptiX OSN 1800 2U Subrack,12-4032,030KAA10C1000043,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-01-29
SGTAXXXIO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-APZCXXAPO0T WDM_OT40_072ZSUR,-,OptiX OSN 1800 2U Subrack,12-2490,030KAA10D2000233,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-02-26
SGTAXXXIO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-TLMRXXPIO01 WDM_OT40_072ZSUR,-,OptiX OSN 1800 2U Subrack,12-2490,030KAA10D3000001,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-03-09
RCLRVRRCO04.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-ISLAVRISO01 WDM_OT40_066ZSUR,-,OptiX OSN 1800 2U Subrack,12-2078,030KAA10B9000158,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2011-09-18
SJBTOATTO07.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-TRBLVRTBO0A WDM_OT40_065ZSUR,-,OptiX OSN 1800 2U Subrack,12-2004,030KAA10B5000033,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2011-05-19
ENSNXBOBO09.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,"TNF1MR802_(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",-,OptiX OSN 1800 2U Subrack,12-47,030KAA10B3000023,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2011-03-23
VRCZVRMOO0O.01,MR4,TNF1MR4 (TNF1MR401),OptiX OSN 1800,0,7,VER.A,1.10,--,--,-,-,OptiX OSN 1800 2U Subrack,12-2024,030KAC10A5000003,/,/,Normal,03030KAC,--,"OptiX OSN 1800,TNF1MR401,4-Channel Optical Add/Drop Multiplexing Board(1471/1491/1511/1531nm),CWDM",2010-05-25
CNTPXPCIO07.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-OCZCXPOCO03 WDM_OT40_355ZSUR,-,OptiX OSN 1800 2U Subrack,12-2313,030KAA10DB000146,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-11-24
OCZCXPOCO03.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-CNTPXPCIO07 WDM_OT40_355ZSUR,-,OptiX OSN 1800 2U Subrack,12-2312,030KAA10DB000056,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-11-14
OCZCXPOCO03.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-TXGRXPTGO1I WDM_OT40_355ZSUR,-,OptiX OSN 1800 2U Subrack,12-2312,030KAA10CB000174,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-11-29
TXGRXPTGO1I.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-OCZCXPOCO03 WDM_OT40_355ZSUR,-,OptiX OSN 1800 2U Subrack,12-2311,030KAA10D1000004,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-01-06
LDTJVRLTO05.02,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-TCPAVRTLO01 WDM_OT40_097ZSUR C,-,OptiX OSN 1800 2U Subrack,12-2193,030KAH10DB000155,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2013-11-28
LDTJVRLTO05.02,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-ALVRVRALO04 WDM_OT40_097ZSUR C,-,OptiX OSN 1800 2U Subrack,12-2193,030KAH10DC000053,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2013-12-03
SCCAXPSCO0N.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-OXCCXPOXO00 WDM_OT40_360ZSUR,-,OptiX OSN 1800 2U Subrack,12-2210,030KAA10CB000075,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-11-09
CTCSVRPTO17.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-AGDUVRADO0A ANILLO_OT40_112ZSUR,-,OptiX OSN 1800 2U Subrack,12-2475,030KAH10DB000025,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2013-11-21
CTCSVRPTO17.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CHOPVRLCO02 ANILLO_OT40_112ZSUR,-,OptiX OSN 1800 2U Subrack,12-2475,030KAH10DB000151,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2013-11-28
SPHTOASPO05.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-QLTJOARMO06 WDM_OT40_314ZSUR,-,OptiX OSN 1800 2U Subrack,12-2322,030KAA10CB000142,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-11-26
SPHTOASPO05.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-OAXCOABEO1S WDM_OT40_314ZSUR,-,OptiX OSN 1800 2U Subrack,12-2322,030KAA10CB000155,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-11-26
CLCRXICLO0N.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,-,-,--,--,"TNF1MR413_(193.3/193.4/193.5/193.6THz),DWDM
DIR: al-MIRAXILMO01-MR4-1/7/5_La Mira",-,OptiX OSN 1800 2U Subrack,12-3072,030JVE10BC000007,--,--,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-12-12
CHLPXGCHO0Y.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-MZALXGMZO00 WDM_OT40_021ZMET,-,OptiX OSN 1800 2U Subrack,10-2247,030KAA10C4000149,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-04-19
AGDUVRADO0A.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-VNTATALVO05 ANILLO_OT40_112ZSUR,-,OptiX OSN 1800 2U Subrack,12-2477,030KAH10C4000004,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
AGDUVRADO0A.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CTCSVRPTO17 ANILLO_OT40_112ZSUR,-,OptiX OSN 1800 2U Subrack,12-2477,030KAH10C4000016,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
LMBOOALBO0F.01,MR4,TNF1MR4 (TNF1MR401),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-VLAZVRVIO00 PTO-PTO_CT08_047ZSUR,-,OptiX OSN 1800 2U Subrack,12-2121,030KAC10BC000048,/,/,Normal,03030KAC,--,"OptiX OSN 1800,TNF1MR401,4-Channel Optical Add/Drop Multiplexing Board(1471/1491/1511/1531nm),CWDM",2011-12-22
MZALXGMZO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CHLPXGCHO0Y WDM_OT40_021ZMET,-,OptiX OSN 1800 2U Subrack,12-2246,030KAA10C3000186,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-03-30
MZTLXSEIO00.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR:al-MZTLXSMRO09 WDM_OT40_009UNOO,-,OptiX OSN 1800 2U Subrack,12-1076,030JVE10B6000042,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-07-03
CDQTVRQU001.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-TMPCXTAGO0C WDM_OT40_069ZNTE,-,OptiX OSN 1800 2U Subrack,12-1130,030KAA10C1000086,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2012-01-30
SNRLVRSRO00.02,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,-,-,OptiX OSN 1800 2U Subrack,12-2110,030JVE10B5000065,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2012-02-18
SNRLVRSRO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-MZTRVRMTO0A WDM_OT40_005ZSUR,-,OptiX OSN 1800 2U Subrack,12-2011,030KAA10B9000162,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2011-09-23
SNRLVRSRO00.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,6,VER.A,1.10,--,--,-,-,OptiX OSN 1800 2U Subrack,12-2011,030KAA10DC000251,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-12-27
